linkID,length,speedlimit,capacity,fromNodeId,toNodeId,cost,linkgreensplit,flow
1190,339.264526,50,1800.000000,-1,1316,0.000000,1.000000,0.000000
1191,351.445517,50,1800.000000,1328,-1,0.000000,1.000000,0.000000
1192,319.660746,50,1800.000000,-1,1320,0.000000,1.000000,0.000000
1193,361.350289,50,1800.000000,1328,-1,0.000000,1.000000,0.000000
1194,286.898930,50,1800.000000,1367,1324,0.000000,1.000000,0.000000
1195,271.513161,50,1800.000000,1328,1276,0.000000,1.000000,0.000000
1196,317.684544,50,1800.000000,1328,1308,0.000000,1.000000,0.000000
1197,334.798325,50,1800.000000,1341,1312,0.000000,1.000000,0.000000
1198,289.916901,50,1800.000000,-1,1304,0.000000,1.000000,0.000000
1200,363.335730,50,1800.000000,1341,-1,0.000000,1.000000,0.000000
1201,282.927105,50,1800.000000,1341,1292,0.000000,1.000000,0.000000
1202,272.998158,50,1800.000000,1354,1296,0.000000,1.000000,0.000000
1203,440.785822,50,1800.000000,1341,-1,0.000000,1.000000,0.000000
1204,362.430032,50,1800.000000,-1,1300,0.000000,1.000000,0.000000
1205,371.410188,50,1800.000000,1367,-1,0.000000,1.000000,0.000000
1206,333.152425,50,1800.000000,-1,1264,0.000000,1.000000,0.000000
1207,383.236432,50,1800.000000,1367,-1,0.000000,1.000000,0.000000
1208,345.502416,50,1800.000000,-1,1272,0.000000,1.000000,0.000000
1209,148.915531,50,900.000000,1367,1280,0.000000,1.000000,0.000000
1210,288.933280,50,1800.000000,1354,1268,0.000000,1.000000,0.000000
1211,379.224457,50,1800.000000,1354,-1,0.000000,1.000000,0.000000
1212,273.178593,50,1800.000000,-1,1284,0.000000,1.000000,0.000000
1213,368.332779,50,1800.000000,-1,1288,0.000000,1.000000,0.000000
1214,438.800462,50,1800.000000,1354,-1,0.000000,1.000000,0.000000
1215,36.237701,50,1800.000000,1272,1367,0.000000,0.800000,0.000000
1216,16.876250,50,900.000000,1272,1367,0.000000,0.722222,0.000000
1217,18.620128,50,900.000000,1272,1367,0.000000,0.177778,0.000000
1218,58.082638,50,1800.000000,1276,1367,0.000000,0.100000,0.000000
1219,31.801940,50,1800.000000,1264,1367,0.000000,0.100000,0.000000
1220,80.908249,50,1800.000000,1268,1367,0.000000,0.400000,0.000000
1221,16.674308,50,900.000000,1264,1367,0.000000,0.277778,0.000000
1222,15.405171,50,900.000000,1264,1367,0.000000,0.322222,0.000000
1223,39.463764,50,900.000000,1268,1367,0.000000,0.722222,0.000000
1224,39.215604,50,900.000000,1268,1367,0.000000,0.177778,0.000000
1225,29.542821,50,900.000000,1276,1367,0.000000,0.277778,0.000000
1226,29.542821,50,900.000000,1276,1367,0.000000,0.322222,0.000000
1227,31.279560,50,1800.000000,1316,1328,0.000000,0.133333,0.000000
1228,14.520659,50,900.000000,1316,1328,0.000000,0.377778,0.000000
1229,14.767240,50,900.000000,1316,1328,0.000000,0.233333,0.000000
1230,37.984537,50,1800.000000,1320,1328,0.000000,0.388889,0.000000
1232,18.986187,50,900.000000,1320,1328,0.000000,0.622222,0.000000
1233,18.120975,50,900.000000,1320,1328,0.000000,0.244444,0.000000
1234,64.775018,50,1800.000000,1312,1328,0.000000,0.388889,0.000000
1235,32.021250,50,900.000000,1312,1328,0.000000,0.244444,0.000000
1236,31.775782,50,900.000000,1312,1328,0.000000,0.622222,0.000000
1237,41.204631,50,1800.000000,1324,1328,0.000000,0.133333,0.000000
1238,20.240380,50,900.000000,1324,1328,0.000000,0.377778,0.000000
1239,20.102975,50,900.000000,1324,1328,0.000000,0.233333,0.000000
1240,63.534117,50,1800.000000,1304,1341,0.000000,0.133333,0.000000
1241,33.008892,50,900.000000,1304,1341,0.000000,0.255556,0.000000
1242,30.527167,50,900.000000,1304,1341,0.000000,0.500000,0.000000
1243,81.899447,50,1800.000000,1308,1341,0.000000,0.244444,0.000000
1244,40.704570,50,900.000000,1308,1341,0.000000,0.744444,0.000000
1245,39.213248,50,900.000000,1308,1341,0.000000,0.122222,0.000000
1246,53.609209,50,1800.000000,1296,1341,0.000000,0.133333,0.000000
1247,27.052774,50,900.000000,1296,1341,0.000000,0.255556,0.000000
1248,26.060097,50,900.000000,1296,1341,0.000000,0.500000,0.000000
1249,68.995865,50,1800.000000,1300,1341,0.000000,0.244444,0.000000
1250,34.497933,50,900.000000,1300,1341,0.000000,0.744444,0.000000
1251,33.256139,50,900.000000,1300,1341,0.000000,0.122222,0.000000
1252,87.381970,50,1800.000000,1280,1354,0.000000,0.277778,0.000000
1253,42.216894,50,900.000000,1280,1354,0.000000,0.644444,0.000000
1254,40.704570,50,900.000000,1280,1354,0.000000,0.266667,0.000000
1255,69.518798,50,1800.000000,1284,1354,0.000000,0.088889,0.000000
1256,30.774338,50,900.000000,1284,1354,0.000000,0.355556,0.000000
1257,33.785331,50,900.000000,1284,1354,0.000000,0.366667,0.000000
1258,71.482775,50,1800.000000,1288,1354,0.000000,0.277778,0.000000
1259,37.723382,50,900.000000,1288,1354,0.000000,0.644444,0.000000
1260,35.751726,50,900.000000,1288,1354,0.000000,0.266667,0.000000
1261,44.683455,50,1800.000000,1292,1354,0.000000,0.088889,0.000000
1262,21.343492,50,900.000000,1292,1354,0.000000,0.355556,0.000000
1263,21.343492,50,900.000000,1292,1354,0.000000,0.366667,0.000000
